gvkey,CUSIP,earningsdate,,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq,,,,,,,
008947,91192210,31jan2022,2022,65700,USLM,0.97733158,0.97279406,-0.044564698,-0.037415937,-0.049257629,2022q1,,,,,,,
008947,91192210,27apr2022,2022,65700,USLM,0.98515481,1.0088831,0.03149832,0.009923354,-0.006093971,2022q2,,,,,,,
008947,91192210,27jul2022,2022,65700,USLM,1.0119793,0.90737361,-0.071850851,-0.057342209,-0.081756614,2022q3,,,,,,,
008947,91192210,26oct2022,2022,65700,USLM,1.0123588,1.0034674,0.05969457,0.014241906,0.015869124,2022q4,,,,,,,
008947,91192210,03feb2023,2023,65700,USLM,1.0219501,1.0261364,0.0427671,0.054638781,0.04866017,2023q1,,,,,,,
008947,91192210,03may2023,2023,65700,USLM,0.9861328,1.01819,0.022813078,0.017811041,0.004070618,2023q2,,,,,,,
008947,91192210,02aug2023,2023,65700,USLM,1.0203586,1.0220819,0.06583564,0.039769311,0.042890053,2023q3,,,,,,,
008947,91192210,31oct2023,2023,65700,USLM,0.98947608,0.96358722,0.003364554,-0.023418916,-0.046553493,2023q4,,,,,,,
008947,91192210,02feb2024,2024,65700,USLM,0.98694283,1.0161134,-0.049845189,-0.037740011,0.002845822,2024q1,,,,,,,
008947,91192210,30apr2024,2024,65700,USLM,1.0194558,1.0364039,0.099215925,0.058012951,0.056567907,2024q2,,,,,,,
008947,91192210,31jul2024,2024,65700,USLM,1.0169531,1.0140014,-0.049239092,0.036340494,0.031191804,2024q3,,,,,,,
008947,91192210,30oct2024,2024,65700,USLM,1.0042355,1.0703578,0.05553332,0.079044379,0.074891269,2024q4,,,,,,,
018312,91200810,09aug2016,2016,16084,USFD,1.0230321,0.99305856,0.010928891,0.013254079,0.015930703,2016q3,,,,,,,
018312,91200810,08nov2016,2016,16084,USFD,1.0125799,0.98241055,0.00734596,0.00232328,-0.00523077,2016q4,,,,,,,
018312,91200810,15feb2017,2017,16084,USFD,0.99558312,0.99205941,-0.010377439,-0.027290089,-0.012322399,2017q1,,,,,,,
018312,91200810,09may2017,2017,16084,USFD,1.004818,0.96962214,-0.01016131,-0.034989353,-0.025706209,2017q2,,,,,,,
018312,91200810,09aug2017,2017,16084,USFD,0.955661,1.0019604,-0.052764047,-0.035102401,-0.042465556,2017q3,,,,,,,
018312,91200810,07nov2017,2017,16084,USFD,0.96771073,1.0228088,-0.035444871,-0.036643345,-0.01021695,2017q4,,,,,,,
