gvkey,CUSIP,ticker,CIK,CoName,cik_source
105346,02318N20,AMBT,1047919.0,AMBIENT CORP /NY,cusip_link
177637,00165C30,AMC,1411579.0,AMC ENTERTAINMENT HOLDINGS INC,cusip_link
65904,03822W40,AMCC,711065.0,APPLIED MICRO CIRCUITS CORP,cusip_link
183526,67086W10,AMCF,1469606.0,ANDATEE CHINA MARINE FUEL SERVICES CORP,cusip_link
187406,00164V10,AMCX,1514991.0,AMC Networks Inc,cusip_link
1161,00790310,AMD,2488.0,ADVANCED MICRO DEVICES INC,cusip_link
177981,82939270,AMDA,,,not_found
1598,03110010,AME,1037868.0,AMETEK INC/,cusip_link
30612,02343610,AMED,896262.0,AMEDISYS INC,cusip_link
32809,03763A20,AMEH,1083446.0,Apollo Medical Holdings Inc,cusip_link
1602,03116210,AMGN,318154.0,AMGEN INC,cusip_link
31109,03676B10,AMGP,1623925.0,Antero Midstream Corp,cusip_link
33700,02752P10,AMID,1513965.0,American Midstream Partners LP,cusip_link
