gvkey,CUSIP,earningsdate,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq
24616,70450Y10,2020-07-29,15488,PYPL,0.03382900000000011,0.046617200000000025,0.090264454,0.079121314,0.082023188,2020q3
24616,70450Y10,2020-11-02,15488,PYPL,-0.003328740000000052,-0.061165389999999986,-0.009074405,-0.094767287,-0.064290524,2020q4
24616,70450Y10,2021-02-03,15488,PYPL,0.009886099999999898,0.06226770000000004,0.11971482,0.089893691,0.072769314,2021q1
24616,70450Y10,2021-05-05,15488,PYPL,-0.010982629999999993,0.01388110000000009,-0.052061502,-0.023355411,0.002746019,2021q2
24616,70450Y10,2021-07-28,15488,PYPL,0.002023499999999956,-0.06683552000000004,-0.11196776,-0.078656256,-0.064947344,2021q3
24616,70450Y10,2021-11-08,15488,PYPL,0.014137000000000066,-0.10172384999999995,-0.11017221,-0.10241447,-0.089024827,2021q4
24616,70450Y10,2022-02-01,15488,PYPL,0.013901399999999953,-0.25065011000000004,-0.243368,-0.21815364,-0.24023312,2022q1
24616,70450Y10,2022-04-27,15488,PYPL,-0.014320140000000037,0.0917768000000001,0.080856547,0.056619022,0.076142453,2022q2
24616,70450Y10,2022-08-02,15488,PYPL,0.01726889999999992,0.0775224000000001,0.095356986,0.12426956,0.096129984,2022q3
24616,70450Y10,2022-11-03,15488,PYPL,-0.027606310000000023,-0.03112256999999996,-0.015405897,-0.075737663,-0.05786971,2022q4
24616,70450Y10,2023-02-09,15488,PYPL,-0.007456600000000035,0.028853500000000087,-0.065953568,-0.011290239,0.021181732,2023q1
24616,70450Y10,2023-05-08,15488,PYPL,0.006486900000000073,-0.12341069999999998,-0.12062963,-0.095433019,-0.11772439,2023q2
24616,70450Y10,2023-08-02,15488,PYPL,-0.016463459999999985,-0.12085389999999996,-0.13491052,-0.13546102,-0.13532771,2023q3
24616,70450Y10,2023-11-01,15488,PYPL,-0.012346450000000009,0.04565360000000007,0.022048347,0.041410498,0.032743435,2023q4
24616,70450Y10,2024-02-07,15488,PYPL,-0.014152410000000004,-0.11479485,-0.042917557,-0.099681504,-0.12732264,2024q1
24616,70450Y10,2024-04-30,15488,PYPL,0.030102300000000026,-0.024029199999999973,-0.011257563,0.017322434,0.005349693,2024q2
24616,70450Y10,2024-07-30,15488,PYPL,0.0898718999999999,0.013356300000000099,0.091334842,0.11718091,0.1044286,2024q3
24616,70450Y10,2024-10-29,15488,PYPL,-0.04071449999999999,-0.02254677000000005,-0.044099145,-0.044470474,-0.062343292,2024q4
39683,74732410,2021-11-15,22229,PYXS,0.02063259999999989,-0.0032068499999999833,0.055526126,-0.033560701,0.017359626,2021q4
39683,74732410,2022-03-29,22229,PYXS,-0.008522209999999975,-0.15424329000000003,-0.24199374,-0.13982217,-0.161451,2022q1
39683,74732410,2022-05-13,22229,PYXS,-0.11708932999999999,0.0046791999999999945,-0.04409704,-0.072419867,-0.11295801,2022q2
39683,74732410,2022-08-15,22229,PYXS,-0.0473249,0.07336180000000003,0.025535664,0.008842167,0.022565037,2022q3
39683,74732410,2022-11-01,22229,PYXS,-0.09406263000000004,-0.028181849999999953,-0.16170402,-0.11901886,-0.11959364,2022q4
39683,74732410,2023-03-22,22229,PYXS,0.016420199999999996,-0.12452012000000001,0.13550931,-0.18280412,-0.11014447,2023q1
39683,74732410,2023-05-11,22229,PYXS,0.022699999999999942,0.0808831000000001,0.26449892,0.16362099,0.1054192,2023q2
39683,74732410,2023-08-11,22229,PYXS,0.06702279999999994,-0.054442699999999955,-0.000370939,0.008838148,0.008931249,2023q3
39683,74732410,2023-11-07,22229,PYXS,-0.048332689999999956,-0.01766133000000003,-0.13581359,-0.075034723,-0.065140411,2023q4
39683,74732410,2024-03-21,22229,PYXS,-0.09034038,-0.19283700000000004,-0.26087198,-0.23345561,-0.2657564,2024q1
39683,74732410,2024-05-14,22229,PYXS,-0.02678119999999995,-0.008905410000000002,-0.059484337,-0.04653766,-0.035448074,2024q2
39683,74732410,2024-08-14,22229,PYXS,-0.03499717000000002,0.004205100000000073,0.024710579,-0.017768009,-0.030939234,2024q3
39683,74732410,2024-11-12,22229,PYXS,-0.021112679999999995,-0.07282221,-0.031749878,-0.029547511,-0.092397444,2024q4
126036,69924M10,2015-05-22,15278,PZG,-0.004089239999999994,-0.02118348999999997,-0.027551409,-0.051510703,-0.025186101,2015q2
126036,69924M10,2015-09-17,15278,PZG,-0.04053669999999998,0.025994899999999932,-0.040584866,-0.001530445,-0.01559558,2015q3
126036,69924M10,2015-11-10,15278,PZG,-0.017953160000000024,-0.04671121,0.010898289,-0.046976857,-0.063825771,2015q4
126036,69924M10,2016-02-05,15278,PZG,0.010417099999999957,0.007705099999999909,-0.02113211,0.023941113,0.018202452,2016q1
126036,69924M10,2016-05-10,15278,PZG,-0.03777564,0.054047100000000015,-0.026970997,-0.010765717,0.014229842,2016q2
126036,69924M10,2016-09-16,15278,PZG,-0.060793039999999965,0.0755383999999999,0.011299647,-0.019623894,0.010153105,2016q3
126036,69924M10,2016-11-09,15278,PZG,-0.014930010000000049,-0.030881170000000013,-0.1145586,-0.067882799,-0.045350119,2016q4
126036,69924M10,2017-02-09,15278,PZG,-0.011619390000000007,0.08443819999999991,0.041867748,0.087392829,0.071837708,2017q1
126036,69924M10,2017-05-09,15278,PZG,0.020092199999999893,-0.008850099999999972,0.054490782,0.011893682,0.011064311,2017q2
126036,69924M10,2017-09-18,15278,PZG,0.1881352999999999,0.01663060000000005,-0.088764809,-0.022088829,0.2078947,2017q3
126036,69924M10,2017-11-07,15278,PZG,-0.022358239999999974,-0.009649160000000045,-0.030077539,-0.033822138,-0.031791668,2017q4
126036,69924M10,2018-02-08,15278,PZG,0.04269440000000002,-0.03609024999999999,0.000740336,0.017363718,0.005063344,2018q1
126036,69924M10,2018-05-10,15278,PZG,-0.06304860000000001,0.034422799999999976,-0.000896909,-0.045688927,-0.030796178,2018q2
126036,69924M10,2018-09-11,15278,PZG,-0.0032303900000000274,0.023923600000000045,-0.049180657,-0.020585539,0.020615913,2018q3
126036,69924M10,2018-11-07,15278,PZG,0.009870299999999999,0.002936400000000061,0.026450735,0.007058383,0.012835646,2018q4
126036,69924M10,2019-02-07,15278,PZG,0.013762400000000063,0.02584900000000001,-0.011447589,0.00057781,0.039967146,2019q1
126036,69924M10,2019-05-10,15278,PZG,0.034041999999999906,0.009782100000000016,-0.005018129,0.019700672,0.044157073,2019q2
126036,69924M10,2019-09-16,15278,PZG,0.0025326999999999433,0.0016719999999998958,-0.034212247,-0.032580335,0.004209005,2019q3
126036,69924M10,2019-11-06,15278,PZG,0.03517170000000003,-0.026066299999999987,-0.045330651,-0.01076114,0.008188707,2019q4
126036,69924M10,2020-02-05,15278,PZG,-0.014389100000000044,-0.03190744000000001,-0.063348047,-0.12549122,-0.045837414,2020q1
126036,69924M10,2020-05-07,15278,PZG,0.011677900000000019,-0.02673464999999997,-0.092747331,-0.033620875,-0.015369013,2020q2
126036,69924M10,2020-09-25,15278,PZG,-0.02414833999999999,-0.033677579999999985,-0.011204301,0.000534725,-0.057012662,2020q3
126036,69924M10,2020-11-05,15278,PZG,0.06688929999999993,0.021321799999999946,0.004908954,0.088852629,0.089637265,2020q4
126036,69924M10,2021-02-05,15278,PZG,0.011313300000000082,0.015860100000000044,0.074388951,0.015750604,0.027352806,2021q1
126036,69924M10,2021-05-07,15278,PZG,-0.008672710000000028,0.040850800000000076,0.005491654,0.036799464,0.03182381,2021q2
126036,69924M10,2021-09-17,15278,PZG,0.031734699999999894,-0.040823339999999986,-0.037885275,-0.047578771,-0.010384109,2021q3
126036,69924M10,2021-11-09,15278,PZG,0.03235520000000003,-0.016901370000000027,0.003303751,0.02015063,0.014906991,2021q4
126036,69924M10,2022-02-04,15278,PZG,-0.013766999999999974,0.00837409999999994,-0.002186877,0.00964977,-0.005508153,2022q1
126036,69924M10,2022-05-10,15278,PZG,-0.006267959999999961,-0.04307479000000003,-0.1174485,-0.10883467,-0.049072731,2022q2
126036,69924M10,2023-02-10,15278,PZG,-0.0026214700000000146,-0.050296070000000026,-0.079722539,-0.01499948,-0.052785698,2023q1
126036,69924M10,2023-05-12,15278,PZG,0.056748299999999974,-0.026696680000000028,-0.048843343,0.006608553,0.028536582,2023q2
126036,69924M10,2023-09-26,15278,PZG,0.0141427999999999,0.006083400000000072,0.019150496,0.016849406,0.020312142,2023q3
126036,69924M10,2023-11-09,15278,PZG,0.023922100000000057,-0.03530823999999999,0.015806947,0.029597778,-0.012230746,2023q4
126036,69924M10,2024-02-13,15278,PZG,0.021549299999999993,0.012867900000000043,-0.008549041,-0.01729529,0.034694578,2024q1
126036,69924M10,2024-05-14,15278,PZG,0.0844571999999999,0.0247792,0.12023242,0.39105222,0.11132908,2024q2
126036,69924M10,2024-09-26,15278,PZG,0.004506300000000074,-0.06857526000000003,-0.094804779,-0.061838478,-0.064377986,2024q3
126036,69924M10,2024-11-12,15278,PZG,0.06851969999999996,0.08160830000000008,0.32499003,0.15995705,0.15571976,2024q4
27198,71723F10,2016-05-18,16067,PZRX,,0.01972689999999999,,,,2016q2
27198,71723F10,2016-08-02,16067,PZRX,-0.04289483999999999,-0.05043757000000004,-0.007729041,-0.091951899,-0.09116888,2016q3
27198,71723F10,2016-11-07,16067,PZRX,-0.14287788,0.02389320000000006,-0.24471967,-0.21099234,-0.12239845,2016q4
27198,71723F10,2017-03-27,16067,PZRX,-0.015533090000000027,0.0025284999999999336,-0.02420244,-0.006151397,-0.013043852,2017q1
